WKT,name,description
"POLYGON ((104.007907 1.34916, 104.008569 1.348881, 104.009251 1.348645, 104.013169 1.357414, 104.013292 1.357406, 104.014501 1.360196, 104.015919 1.363469, 104.005554 1.367782, 104.005264 1.367342, 104.005082 1.366801, 104.009051 1.365068, 104.012764 1.363395, 104.00904 1.354055, 104.009797 1.353713, 104.008745 1.351192, 104.007907 1.34916))",BLACK,CAG AREA OF RESPONSIBILITY
"POLYGON ((104.016155 1.364296, 104.016039 1.36414, 104.015812 1.363743, 104.015696 1.363647, 104.015414 1.363676, 104.015996 1.363432, 104.016372 1.364009, 104.016353 1.364215, 104.016155 1.364296))",BLACK,CAG AREA OF RESPONSIBILITY
"POLYGON ((104.004808 1.348071, 104.005097 1.34794, 104.00505 1.347966, 104.005024 1.348007, 104.005006 1.348052, 104.005012 1.34808, 104.005023 1.348119, 104.004987 1.348131, 104.004967 1.348138, 104.00495 1.348145, 104.004939 1.348153, 104.004907 1.348108, 104.004861 1.348079, 104.004808 1.348071))",BLACK,GOLF EAST CROSSING
"POLYGON ((104.005531 1.349873, 104.00556 1.349855, 104.005587 1.349824, 104.005604 1.349778, 104.005595 1.349735, 104.005587 1.349708, 104.005676 1.34967, 104.005701 1.349707, 104.00573 1.349738, 104.005767 1.349749, 104.005795 1.349751, 104.005834 1.349749, 104.005531 1.349873))",BLACK,HOTEL EAST CROSSING
"POLYGON ((104.009925 1.342469, 104.010391 1.343544, 104.010343 1.343467, 104.010249 1.343383, 104.010134 1.343268, 104.010019 1.343166, 104.009944 1.343105, 104.009378 1.342678, 104.009502 1.342517, 104.009576 1.342572, 104.00964 1.342607, 104.009718 1.342614, 104.009766 1.342607, 104.009832 1.342579, 104.009893 1.342524, 104.009925 1.342469))",YELLOW,MY4
"POLYGON ((104.012217 1.349447, 104.012347 1.349277, 104.012418 1.349345, 104.012515 1.349399, 104.012628 1.349393, 104.012719 1.349345, 104.01281 1.349248, 104.013266 1.350332, 104.01303 1.350066, 104.012217 1.349447))",YELLOW,MY2
"POLYGON ((104.010594 1.345602, 104.010663 1.34552, 104.010723 1.345436, 104.010809 1.345507, 104.010908 1.345547, 104.011024 1.34555, 104.011131 1.345472, 104.011163 1.345392, 104.011392 1.345861, 104.011639 1.346497, 104.01158 1.346404, 104.011514 1.346316, 104.011415 1.346244, 104.011353 1.346196, 104.011192 1.346056, 104.011034 1.34593, 104.010828 1.345783, 104.010594 1.345602))",YELLOW,MY3
"POLYGON ((104.008052 1.339596, 104.00815 1.338848, 104.00816 1.338687, 104.008102 1.338184, 104.00858 1.339292, 104.008494 1.339276, 104.008356 1.339333, 104.008284 1.339423, 104.00826 1.339621, 104.008157 1.33961, 104.008052 1.339596))",YELLOW,MY5
"POLYGON ((104.006476 1.335842, 104.006545 1.335292, 104.006578 1.334895, 104.00657 1.334646, 104.006559 1.334562, 104.006969 1.335534, 104.006942 1.335525, 104.006877 1.335531, 104.006812 1.335559, 104.006765 1.335584, 104.006728 1.335637, 104.006696 1.335708, 104.00668 1.335868, 104.006476 1.335842))",YELLOW,east
"POLYGON ((104.00575 1.334119, 104.00556 1.333687, 104.005874 1.333552, 104.005967 1.333478, 104.006039 1.333331, 104.006184 1.333666, 104.006307 1.333938, 104.006352 1.334031, 104.006246 1.333974, 104.006128 1.333982, 104.006015 1.334002, 104.00575 1.334119))",YELLOW,MY7
"POLYGON ((104.004066 1.33016, 104.00413 1.329677, 104.004173 1.329307, 104.004186 1.329082, 104.004184 1.328969, 104.004168 1.328907, 104.004544 1.329838, 104.004493 1.329835, 104.004442 1.329846, 104.004399 1.329868, 104.004366 1.329894, 104.004323 1.329941, 104.004296 1.330002, 104.00428 1.330181, 104.004066 1.33016))",YELLOW,MY8
"POLYGON ((104.003056 1.326284, 104.003322 1.326916, 104.003283 1.326903, 104.003185 1.326885, 104.003087 1.326888, 104.002734 1.327038, 104.002552 1.326624, 104.002896 1.326474, 104.002962 1.326426, 104.003011 1.326368, 104.003056 1.326284))",YELLOW,MY9
"POLYGON ((104.000816 1.322441, 104.000638 1.322032, 104.001156 1.321816, 104.001369 1.322318, 104.001359 1.322316, 104.001307 1.322305, 104.001255 1.322302, 104.001202 1.3223, 104.001149 1.322307, 104.000816 1.322441))",YELLOW,MY10
"POLYGON ((104.015603 1.354944, 104.015445 1.35458, 104.015396 1.354468, 104.01543 1.354495, 104.015468 1.354506, 104.015499 1.354519, 104.015535 1.354524, 104.015608 1.354518, 104.015691 1.354498, 104.016094 1.354357, 104.016151 1.354485, 104.016202 1.354609, 104.015781 1.354819, 104.015702 1.354891, 104.015603 1.354944))",YELLOW,Y2
"POLYGON ((104.016479 1.356938, 104.016588 1.35689, 104.016713 1.357158, 104.01659 1.357218, 104.016479 1.356938))",YELLOW,Y1
"POLYGON ((104.014694 1.355328, 104.014522 1.354922, 104.014839 1.354787, 104.014853 1.354774, 104.014877 1.354757, 104.0149 1.354738, 104.01493 1.354708, 104.014957 1.354667, 104.014989 1.354612, 104.015017 1.354532, 104.015031 1.354446, 104.015291 1.355067, 104.014694 1.355328))",YELLOW,MY1
"POLYGON ((104.01426 1.351817, 104.01427 1.351818, 104.014275 1.351829, 104.01426 1.351817))",YELLOW,Y3
"POLYGON ((104.014275 1.351829, 104.014284 1.351837, 104.014305 1.351847, 104.014333 1.351865, 104.014359 1.351874, 104.014388 1.351882, 104.014427 1.35189, 104.01447 1.351888, 104.01452 1.351885, 104.014571 1.351866, 104.014958 1.351723, 104.015067 1.351983, 104.014639 1.352189, 104.014588 1.35224, 104.014565 1.352271, 104.014537 1.352312, 104.014525 1.35236, 104.014514 1.352406, 104.014275 1.351829))",YELLOW,Y3
"POLYGON ((104.01498 1.353661, 104.014564 1.352622, 104.014539 1.352552, 104.014528 1.352514, 104.014517 1.352473, 104.014518 1.3524, 104.014525 1.35236, 104.014536 1.352327, 104.014548 1.3523, 104.014568 1.352278, 104.014595 1.352227, 104.014642 1.352196, 104.015046 1.352002, 104.015617 1.353364, 104.015023 1.353613, 104.014992 1.353637, 104.01498 1.353661))",YELLOW,east
"POLYGON ((104.01476 1.355486, 104.014694 1.355328, 104.015303 1.355065, 104.015368 1.355217, 104.01476 1.355486))",YELLOW,east
"POLYGON ((104.010646 1.343392, 104.010694 1.343389, 104.011692 1.342958, 104.012948 1.345942, 104.011908 1.346381, 104.010646 1.343392))",YELLOW,east
"POLYGON ((104.015527 1.356, 104.015751 1.355793, 104.015794 1.355835, 104.015833 1.355858, 104.015908 1.35588, 104.015995 1.355883, 104.016106 1.355852, 104.016209 1.356134, 104.016132 1.356174, 104.016065 1.356187, 104.015995 1.356196, 104.015893 1.35619, 104.015816 1.356169, 104.01573 1.356149, 104.015644 1.356096, 104.015527 1.356))",YELLOW,MIKE YANKEE TAXIWAY
"POLYGON ((104.006505 1.33579, 104.006509 1.33574, 104.006716 1.335762, 104.006709 1.335813, 104.006505 1.33579))",YELLOW,MY6
"POLYGON ((104.01539 1.355333, 104.001156 1.321816, 104.001452 1.321691, 104.01573 1.355252, 104.01539 1.355333))",YELLOW,MIKE YANKEE TAXIWAY
"POLYGON ((104.006107 1.328192, 104.006061 1.328044, 104.008215 1.327135, 104.008282 1.327269, 104.006107 1.328192))",YELLOW,Y9
"POLYGON ((104.004913 1.328738, 104.004825 1.328502, 104.005687 1.328124, 104.005808 1.328364, 104.004913 1.328738))",YELLOW,Y9
"POLYGON ((104.002177 1.325138, 104.00214 1.325146, 104.002152 1.325194, 104.002102 1.325214, 104.002 1.325021, 104.002099 1.324977, 104.002258 1.324906, 104.002332 1.325072, 104.002177 1.325138))",YELLOW,SOUTHERN GLIDESCOPE
"POLYGON ((104.009124 1.342145, 104.009026 1.341966, 104.010148 1.341488, 104.010228 1.341673, 104.009124 1.342145))",YELLOW,FIRE LANE
"POLYGON ((104.005913 1.328585, 104.004878 1.329021, 104.00458 1.328313, 104.005624 1.327884, 104.005913 1.328585))",ORANGE,Y9
"POLYGON ((104.006512 1.327509, 104.006432 1.327288, 104.006425 1.327233, 104.006433 1.327182, 104.006456 1.327099, 104.006486 1.327017, 104.006496 1.326946, 104.006476 1.32687, 104.006188 1.326209, 104.007108 1.325823, 104.007206 1.326046, 104.011361 1.324277, 104.011266 1.324039, 104.011572 1.323904, 104.011085 1.322741, 104.011706 1.322472, 104.011799 1.322673, 104.011546 1.322784, 104.011496 1.322843, 104.011465 1.322927, 104.011475 1.322985, 104.012202 1.3247, 104.012645 1.325726, 104.005979 1.328554, 104.005682 1.327859, 104.006512 1.327509))",ORANGE,UNTITLED LAYER
"POLYGON ((104.007061 1.325725, 104.008078 1.325251, 104.009119 1.324804, 104.011199 1.323895, 104.011297 1.324103, 104.011361 1.324277, 104.00928 1.325161, 104.007206 1.326046, 104.007061 1.325725))",ORANGE,UNTITLED LAYER
"POLYGON ((104.002741 1.327036, 104.002938 1.326953, 104.003014 1.326916, 104.003055 1.3269, 104.003113 1.326887, 104.003179 1.326882, 104.003232 1.326886, 104.003275 1.326903, 104.003322 1.326916, 104.003378 1.326942, 104.003409 1.326973, 104.003436 1.326989, 104.003466 1.32702, 104.003483 1.327037, 104.003924 1.328056, 104.003282 1.328328, 104.002741 1.327036))",ORANGE,UNTITLED LAYER
