WKT,name,description
"POLYGON ((103.9169929 1.3787789, 103.9167689 1.3782411, 103.9166964 1.3782558, 103.9166307 1.3782545, 103.9165422 1.3782277, 103.9163773 1.3781218, 103.9157577 1.3776498, 103.9148256 1.3769486, 103.9144769 1.3766711, 103.9142784 1.3764231, 103.9139002 1.3756066, 103.9140907 1.3755168, 103.9144099 1.3762528, 103.9146271 1.376537, 103.9159441 1.3775238, 103.9160487 1.3775962, 103.916156 1.3775908, 103.9162794 1.3775238, 103.9163585 1.3774219, 103.9163826 1.3772503, 103.9157872 1.3758989, 103.9150308 1.3741318, 103.9145614 1.373027, 103.9144809 1.3729171, 103.9143066 1.3728206, 103.9141859 1.3728098, 103.9139123 1.3729171, 103.9137997 1.372657, 103.9138855 1.3726034, 103.9140142 1.3725015, 103.9141162 1.372295, 103.9141162 1.3719974, 103.9113293 1.3654171, 103.9112274 1.3653206, 103.9110933 1.3653045, 103.9108626 1.365401, 103.9109056 1.3655136, 103.91086 1.3656504, 103.9105461 1.3658113, 103.9102712 1.3651608, 103.9109256 1.3649035, 103.9110329 1.3647479, 103.9088495 1.3595352, 103.908812 1.3594896, 103.9086806 1.3594708, 103.9081388 1.3596559, 103.9079886 1.3597497, 103.9078732 1.3594682, 103.9085304 1.3591786, 103.9086403 1.3590445, 103.9063363 1.3536896, 103.9061405 1.3536387, 103.9056282 1.3538344, 103.9054914 1.3539202, 103.9053654 1.3536226, 103.9055182 1.353577, 103.905993 1.3533437, 103.9061083 1.3531587, 103.9048343 1.350142, 103.9047699 1.3500911, 103.904617 1.3500938, 103.903984 1.3503619, 103.9038687 1.3500696, 103.9042522 1.3499114, 103.9045419 1.3497532, 103.9046063 1.3496111, 103.9026883 1.3451852, 103.9024818 1.345204, 103.9021412 1.3453381, 103.9018595 1.3446597, 103.9019293 1.3446409, 103.9020285 1.3446945, 103.9021304 1.3448688, 103.9023477 1.3449627, 103.9025837 1.3448742, 103.901484 1.3422865, 103.901993 1.3420962, 103.9022149 1.3426218, 103.9029646 1.3443727, 103.9032596 1.3439651, 103.9034366 1.344374, 103.9035225 1.3445892, 103.9036096 1.344787, 103.9033723 1.3448849, 103.9032757 1.3450967, 103.905105 1.3494032, 103.9052042 1.3494809, 103.9053625 1.3494836, 103.905565 1.3493871, 103.9056119 1.3495044, 103.9056602 1.349619, 103.9054773 1.3496957, 103.905394 1.3497595, 103.9053374 1.3499024, 103.9085292 1.3574064, 103.9085909 1.3573984, 103.9087934 1.3568956, 103.9088306 1.3569801, 103.9089282 1.3572026, 103.9089838 1.357338, 103.909014 1.3574225, 103.9087921 1.3579937, 103.9104309 1.3619354, 103.9112436 1.3638473, 103.9113267 1.3638902, 103.9117505 1.3639304, 103.9119558 1.3643768, 103.9114904 1.3643219, 103.9114474 1.3643541, 103.9127376 1.36736, 103.9128181 1.3674726, 103.9129468 1.3675075, 103.9130273 1.3674967, 103.9132405 1.3674029, 103.9133384 1.3676388, 103.9131439 1.3677059, 103.9130534 1.3678265, 103.9130004 1.3679713, 103.9153434 1.3734844, 103.9153876 1.3735461, 103.9154694 1.3736077, 103.915578 1.3736158, 103.9158395 1.3735259, 103.915914 1.3737049, 103.9159951 1.373892, 103.9156062 1.3740769, 103.9174918 1.3785644, 103.9169929 1.3787789))",red,Runway (PLAB)
"POLYGON ((103.9139002 1.3756066, 103.9133663 1.3743276, 103.9130595 1.3736175, 103.913376 1.3734807, 103.9133636 1.3737162, 103.9140907 1.3755168, 103.9139002 1.3756066))",red,Northern Access
"POLYGON ((103.915978 1.3762827, 103.9164286 1.3760897, 103.9174918 1.3785644, 103.9169929 1.3787789, 103.9167689 1.3782411, 103.9165422 1.3782277, 103.9144009 1.3766045, 103.9142784 1.3764231, 103.9139002 1.3756066, 103.9140907 1.3755168, 103.9144099 1.3762528, 103.9146271 1.376537, 103.9160487 1.3775962, 103.916156 1.3775908, 103.9162999 1.377484, 103.9163826 1.3772503, 103.915978 1.3762827))",red,Northern Overrun
"POLYGON ((103.9025421 1.3447836, 103.901484 1.3422865, 103.901993 1.3420962, 103.9024402 1.3431319, 103.9030517 1.3445584, 103.9025421 1.3447836))",red,Southern Overrun
"POLYGON ((103.916026 1.3766046, 103.9159723 1.3764706, 103.9166697 1.3761702, 103.9166751 1.376248, 103.9167072 1.3763151, 103.916026 1.3766046))",red,Northern Barrier
"POLYGON ((103.9145507 1.3735761, 103.9144863 1.3734581, 103.9153929 1.3730344, 103.9154626 1.3731792, 103.9145507 1.3735761))",red,Nothern Hookwire
"POLYGON ((103.9155377 1.3756998, 103.9154948 1.3755818, 103.9162458 1.3752171, 103.9163102 1.3753512, 103.9155377 1.3756998))",red,Northern MAG
"POLYGON ((103.9037051 1.3480047, 103.9036515 1.3479081, 103.9045259 1.3475274, 103.9045688 1.3476132, 103.9037051 1.3480047))",red,Southern Hookwire
"POLYGON ((103.9021652 1.3444406, 103.9021196 1.3443333, 103.9030396 1.3439713, 103.9030718 1.3440571, 103.9021652 1.3444406))",red,Southern Barrier
"POLYGON ((103.9133636 1.3737162, 103.9134055 1.3733279, 103.9135557 1.3731455, 103.9141859 1.3728098, 103.9144809 1.3729171, 103.9160929 1.3765102, 103.9156249 1.3767301, 103.9151046 1.376899, 103.9146271 1.376537, 103.9144099 1.3762528, 103.9133636 1.3737162))",red,RWY SHLDER
