WKT	name	description
"POLYGON ((103.7095416 1.3999782, 103.7095094 1.3995987, 103.7095363 1.3996256, 103.7096087 1.3996953, 103.7097119 1.3997502, 103.7098353 1.3997663, 103.7099507 1.3997489, 103.710125 1.3997154, 103.7103557 1.3995853, 103.7105193 1.3994553, 103.710412 1.39825, 103.7107593 1.3978183, 103.710938 1.3998476, 103.7095416 1.3999782))"	purple	CP1
"POLYGON ((103.7093129 1.37615, 103.7096213 1.3764543, 103.709742 1.3767211, 103.7097689 1.3767962, 103.7099593 1.3790057, 103.709557 1.3790406, 103.7093129 1.37615))"	blue	CP2
"POLYGON ((103.7128608 1.3828873, 103.7108867 1.3814286, 103.7107097 1.3814125, 103.7107097 1.3812623, 103.710479 1.3812784, 103.7104253 1.3806831, 103.7106077 1.3806778, 103.710935 1.3807529, 103.7111871 1.380903, 103.7130217 1.3822759, 103.7131129 1.3822357, 103.7132631 1.3823456, 103.7128608 1.3828873))"	yellow	D8 AMA
"POLYGON ((103.7069491 1.3750044, 103.7073514 1.3749749, 103.7095445 1.4000471, 103.709107 1.4000818, 103.7069491 1.3750044))"	red	RUNWAY
"POLYGON ((103.7083259 1.3860844, 103.70824 1.3852318, 103.7083419 1.3854302, 103.7084761 1.3855267, 103.7087604 1.3855321, 103.7094953 1.3854409, 103.709608 1.3853551, 103.7096777 1.3852478, 103.7097421 1.3859128, 103.7096777 1.3857841, 103.7095114 1.385693, 103.7091144 1.3857144, 103.7085726 1.3857734, 103.7083956 1.3858914, 103.7083259 1.3860844))"	red	EC
"POLYGON ((103.7075757 1.3775019, 103.7073772 1.3752388, 103.7077527 1.3752066, 103.7078493 1.3752334, 103.7081282 1.3752656, 103.7083964 1.3753943, 103.7084876 1.3753729, 103.7086915 1.3753407, 103.7088095 1.3752334, 103.7089919 1.3771962, 103.7085359 1.3768208, 103.7084555 1.3755927, 103.7083428 1.3755016, 103.7081068 1.3754426, 103.707978 1.3754587, 103.7078225 1.375523, 103.7079458 1.3770461, 103.7075757 1.3775019))"	red	E4 + ILS Crit
"POLYGON ((103.7063331 1.379991, 103.7062312 1.379149, 103.7063438 1.3793475, 103.7065101 1.3794601, 103.7070412 1.3794172, 103.7071646 1.3793367, 103.7073202 1.3791383, 103.7073738 1.3799427, 103.7071968 1.3796746, 103.7066121 1.3796907, 103.706435 1.3797765, 103.7063331 1.379991))"	red	W3
"POLYGON ((103.7077736 1.3798205, 103.7077066 1.3791233, 103.7078005 1.3792574, 103.7078809 1.3793164, 103.7079695 1.3793646, 103.70875 1.3792949, 103.7088224 1.3792788, 103.7089699 1.3791984, 103.7090611 1.3790992, 103.7091121 1.3790053, 103.7091443 1.3789597, 103.7092247 1.3798178, 103.7091899 1.3796971, 103.7091255 1.3796033, 103.7090397 1.3795255, 103.7089243 1.3794692, 103.7088358 1.3794478, 103.7080204 1.3795282, 103.7079346 1.3795657, 103.7078595 1.379622, 103.7078112 1.3796864, 103.7077736 1.3798205))"	red	E3
"POLYGON ((103.7068771 1.3862401, 103.7067966 1.3854115, 103.7068342 1.3854919, 103.7068637 1.3855348, 103.7069012 1.3855912, 103.7069978 1.3856609, 103.7070796 1.385685, 103.7071668 1.3857011, 103.7076093 1.3856421, 103.7076657 1.3856046, 103.7077488 1.3855348, 103.7077917 1.385449, 103.7078373 1.3853096, 103.7079151 1.3861167, 103.7078427 1.3859907, 103.7077756 1.3859397, 103.7076925 1.3859049, 103.7076254 1.3858781, 103.7071802 1.3859049, 103.7070863 1.3859371, 103.7069817 1.3860202, 103.7069307 1.3861033, 103.7068771 1.3862401))"	red	WC
"POLYGON ((103.7075881 1.3944597, 103.7075103 1.3936178, 103.707572 1.3937223, 103.7076337 1.3938055, 103.7077007 1.3938537, 103.7077638 1.3939007, 103.7078308 1.3939047, 103.7081299 1.393902, 103.7082627 1.3938953, 103.7083284 1.3938832, 103.7084196 1.3938269, 103.708492 1.3937492, 103.708551 1.3936258, 103.7086261 1.3943605, 103.708543 1.3942157, 103.7084759 1.3941728, 103.7083793 1.3941165, 103.7079153 1.3941299, 103.7077705 1.3941835, 103.7076954 1.3942479, 103.707639 1.3943364, 103.7075881 1.3944597))"	red	W2
